event_id,date,city,zone,raw_text,trigger_label,confidence,is_disruption,mm_rainfall,window_start,window_end
EVT011756,2025-07-25,Bengaluru,Electronic City,people keep saying rain issue but this pocket is functioning,normal,0.92,0,0.31,00:00,01:00
EVT001012,2025-07-08,Chennai,Adyar,morning run roads are moving fine and orders are normal,normal,0.92,0,0.38,18:00,19:00
EVT008754,2025-11-22,Bengaluru,Indiranagar,"imd note only a light drizzle, nothing serious for deliveries at the moment",normal,0.92,0,2.2,06:00,07:00
EVT003669,2025-07-30,Mumbai,Bandra,"Bandra side bandh rumours are false, shops are open for this slot temperature is high though still workable warning exists, ground reality here is mostly okay",normal,0.92,0,2.13,18:00,19:00
EVT012098,2025-10-10,Bengaluru,Yelahanka,delivery status heat is there but still manageable on bike minor slowdown only,normal,0.92,0,0.04,00:00,01:00
EVT015328,2025-08-30,Mumbai,Dadar,"Dadar in Mumbai feels like an oven not rain, just dangerous heat building up on the road by 6 AM dark clouds are around but there is no useful cooling",heat_wave,0.75,1,0.0,06:00,07:00
EVT009501,2025-09-25,Kolkata,Howrah,"Howrah side traffic is moderate, weather is okay for this slot",bandh,0.71,1,0.06,18:00,19:00
EVT005844,2025-11-09,Mumbai,Borivali,"Borivali side only a light drizzle, nothing serious for deliveries around 18:00 #riderlife",normal,0.92,0,1.68,18:00,19:00
EVT003466,2025-08-18,Kolkata,Park Street,kolkata ops update people keep saying rain issue but this pocket is functioning at the moment,normal,0.92,0,0.68,12:00,13:00
EVT009602,2025-11-23,Bengaluru,Electronic City,"bengaluru ops update traffic is moderate, weather is okay for this slot",normal,0.92,0,1.95,06:00,07:00
EVT007822,2025-10-03,Chennai,Kathankulathur,delivery status people keep saying rain issue but this pocket is functioning for this slot minor slowdown only,normal,0.92,0,1.25,18:00,19:00
EVT002639,2025-12-08,Mumbai,Chembur,evening shift some dark clouds but no disruption so far at the moment protest talk is floating around in Mumbai but no hard road closure yet,normal,0.92,0,1.71,18:00,19:00
EVT011076,2025-11-06,Kolkata,Esplanade,kolkata ops update alert looked scary earlier but this stretch is clear now around 12:00,normal,0.92,0,1.63,12:00,13:00
EVT009423,2025-11-06,Chennai,Perambur,morning run roads are moving fine and orders are normal,normal,0.92,0,0.03,18:00,19:00
EVT008019,2025-09-09,Chennai,Guduvanchery,"cloudy sky, no flooding reported in the area right now",normal,0.92,0,1.03,12:00,13:00
EVT006179,2025-07-18,Mumbai,Andheri,"delivery status only a light drizzle, nothing serious for deliveries #chennai",bandh,0.53,1,1.08,12:00,13:00
EVT009896,2025-09-15,Kolkata,Sealdah,"imd note bandh rumours are false, shops are open right now",normal,0.92,0,1.94,00:00,01:00
EVT014213,2025-09-28,Bengaluru,HSR Layout,"not full disaster, but this has gone beyond a normal shower orders are moving slower than usual",heavy_rain,0.95,1,60.46,12:00,13:00
EVT009944,2025-09-01,Bengaluru,Rajajinagar,bengaluru ops update alert looked scary earlier but this stretch is clear now,normal,0.92,0,1.09,12:00,13:00
EVT008127,2025-07-30,Bengaluru,Indiranagar,"Indiranagar side traffic is moderate, weather is okay",normal,0.92,0,0.52,06:00,07:00
EVT002335,2025-12-15,Chennai,Guduvanchery,Guduvanchery side roads are moving fine and orders are normal around 0:00,normal,0.92,0,1.25,00:00,01:00
EVT004744,2025-10-13,Mumbai,Andheri,imd note heat is there but still manageable on bike right now,normal,0.92,0,1.42,06:00,07:00
EVT013384,2025-07-18,Mumbai,Borivali,visibility is poor and bikes are slowing down,heavy_rain,0.89,1,58.28,12:00,13:00
EVT013183,2025-08-05,Kolkata,Esplanade,"kolkata weather alert steady downpour, hard to complete orders orders are moving slower than usual",heavy_rain,0.87,1,52.88,12:00,13:00
EVT012841,2025-09-30,Bengaluru,Electronic City,morning run people keep saying rain issue but this pocket is functioning minor slowdown only,normal,0.92,0,0.2,12:00,13:00
EVT005382,2025-10-01,Kolkata,Garia,delivery status humid weather but service is running smoothly right now,normal,0.92,0,1.61,06:00,07:00
EVT014982,2025-08-08,Bengaluru,Rajajinagar,field escalation the whole stretch looks washed out and two-wheelers are backing off since 12 PM,heavy_rain,0.5,1,84.67,12:00,13:00
EVT000151,2025-07-21,Kolkata,Park Street,evening shift alert looked scary earlier but this stretch is clear now right now,normal,0.92,0,1.75,12:00,13:00
EVT001088,2025-10-09,Bengaluru,Whitefield,"morning run people keep saying rain issue but this pocket is honestly functioning around 0:00 very hot, still not enough to disrupt the shift",normal,0.92,0,0.8,00:00,01:00
EVT013131,2025-08-24,Mumbai,Bandra,"maybe not cyclone grade yet, waterlogging in Bandra roads are filling up and riders are taking detours around Bandra main road",normal,0.45,0,26.24,12:00,13:00
EVT006175,2025-12-19,Bengaluru,Whitefield,delivery status some dark clouds but no disruption so far at the moment,normal,0.92,0,0.97,06:00,07:00
EVT009435,2025-09-16,Mumbai,Andheri,Andheri side some dark clouds but no disruption so far around 12:00,normal,0.92,0,1.92,12:00,13:00
EVT000885,2025-08-10,Mumbai,Ghatkopar,mumbai ops update heat is there but still manageable on bike right now,normal,0.92,0,1.57,00:00,01:00
EVT008926,2025-08-19,Bengaluru,HSR Layout,imd note heat is there but still manageable on bike for this slot,normal,0.92,0,1.69,18:00,19:00
EVT002055,2025-09-29,Mumbai,Thane,"mumbai ops update cloudy sky, no flooding reported in the area right now temperature is high though still workable",normal,0.92,0,1.21,06:00,07:00
